2024-09-09 12:19:01,266 INFO [main]	register protocol:1 success
2024-09-09 12:19:01,319 INFO [main]	register protocol:29 success
2024-09-09 12:19:01,323 INFO [main]	register protocol:4 success
2024-09-09 12:19:01,327 INFO [main]	register protocol:3 success
2024-09-09 12:19:01,328 INFO [main]	register protocol:31 success
2024-09-09 12:19:01,329 INFO [main]	register protocol:28 success
2024-09-09 12:19:01,330 INFO [main]	register protocol:32 success
2024-09-09 12:19:01,331 INFO [main]	register protocol:33 success
2024-09-09 12:19:01,332 INFO [main]	register protocol:30 success
2024-09-09 12:19:01,334 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2024-09-09 12:19:01,335 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2024-09-09 12:19:01,335 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2024-09-09 12:19:01,336 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2024-09-09 12:19:01,344 INFO [main]	create thread:server-work-thread-1
2024-09-09 12:19:01,345 INFO [main]	create thread:server-work-thread-2
2024-09-09 12:19:01,346 INFO [main]	create thread:server-work-thread-3
2024-09-09 12:19:01,346 INFO [main]	create thread:server-work-thread-4
2024-09-09 12:19:01,347 INFO [main]	create thread:server-work-thread-5
2024-09-09 12:19:01,347 INFO [main]	create thread:server-work-thread-6
2024-09-09 12:19:01,348 INFO [main]	create thread:server-work-thread-7
2024-09-09 12:19:01,348 INFO [main]	create thread:server-work-thread-8
2024-09-09 12:19:01,348 INFO [main]	create thread:server-work-thread-9
2024-09-09 12:19:01,348 INFO [main]	create thread:server-work-thread-10
2024-09-09 12:19:01,348 INFO [main]	create thread:server-work-thread-11
2024-09-09 12:19:01,349 INFO [main]	create thread:server-work-thread-12
2024-09-09 12:19:01,387 INFO [main]	use jdk nio event mode
2024-09-09 12:19:01,418 INFO [main]	create thread:timeout-timer-thread-1
2024-09-09 12:19:01,618 WARN [main]	meta file not exist, name=./data/log/metadata
2024-09-09 12:19:01,621 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2024-09-09 12:19:01,717 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=appendEntries
2024-09-09 12:19:01,718 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=preVote
2024-09-09 12:19:01,719 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=requestVote
2024-09-09 12:19:01,720 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftConsensusService, methodName=installSnapshot
2024-09-09 12:19:01,728 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getConfiguration
2024-09-09 12:19:01,730 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=getLeader
2024-09-09 12:19:01,732 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=addPeers
2024-09-09 12:19:01,733 INFO [main]	register service, serviceName=com.github.raftimpl.raft.service.RaftClientService, methodName=removePeers
2024-09-09 12:19:01,737 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=get
2024-09-09 12:19:01,739 INFO [main]	register service, serviceName=com.github.raftimpl.raft.example.server.service.ExampleService, methodName=set
2024-09-09 12:19:01,782 INFO [main]	create thread:server-acceptor-thread-1
2024-09-09 12:19:01,792 INFO [main]	server started on port=8052 success
2024-09-09 12:19:01,844 INFO [main]	create thread:fairStrategy-timer-thread-1
2024-09-09 12:19:01,847 INFO [main]	create thread:client-work-thread-1
2024-09-09 12:19:01,847 INFO [main]	create thread:client-work-thread-2
2024-09-09 12:19:01,848 INFO [main]	create thread:client-work-thread-3
2024-09-09 12:19:01,848 INFO [main]	create thread:client-work-thread-4
2024-09-09 12:19:01,848 INFO [main]	create thread:client-work-thread-5
2024-09-09 12:19:01,849 INFO [main]	create thread:client-work-thread-6
2024-09-09 12:19:01,849 INFO [main]	create thread:client-work-thread-7
2024-09-09 12:19:01,849 INFO [main]	create thread:client-work-thread-8
2024-09-09 12:19:01,850 INFO [main]	create thread:client-work-thread-9
2024-09-09 12:19:01,850 INFO [main]	create thread:client-work-thread-10
